Waf: Entering directory `/home/vagrant/ns3/ns-allinone-3.35/ns-3.35/build'
[964/968] Compiling overlayApplication.cc
[968/968] Linking ../../build/scratch/MinCostFixRate/MinCostFixRate
Waf: Leaving directory `/home/vagrant/ns3/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.636s)
underlay_file: /vagrant/Documents/vagrant_shared_folder/Abvt.graph
overlay_file: /home/vagrant/ns3/ns-allinone-3.35/ns-3.35/scratch/MinCostFixRate/overlay.txt
route_table: /home/vagrant/ns3/ns-allinone-3.35/ns-3.35/scratch/MinCostFixRate/route_table.txt
Run Simulation.
Node ID: 9 start at 92
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.2723e+07ns, PktID= 13: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.2723e+07ns, PktID= 13: src:9 dest:14
Node ID: 0 forward at: 12723
Node ID: 0PktID: 13src: 9 -dest: 14 queue backlog: 20 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.2723e+07ns, PktID= 13: src:9 dest:14
Node ID: 6 forward at: 12739.2
Node ID: 7 forward at: 12740.6
Node ID: 1 forward at: 12762.7
Node ID: 8 forward at: 12815.3
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.2849e+07ns, PktID= 14: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.2849e+07ns, PktID= 14: src:9 dest:14
Node ID: 0 forward at: 12849
Node ID: 0PktID: 14src: 9 -dest: 14 queue backlog: 20 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.2849e+07ns, PktID= 14: src:9 dest:14
Node ID: 2 forward at: 12850.7
Node ID: 6 forward at: 12865.2
Node ID: 7 forward at: 12866.6
Node ID: 1 forward at: 12888.7
Node ID: 8 forward at: 12941.3
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.2975e+07ns, PktID= 15: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.2975e+07ns, PktID= 15: src:9 dest:14
Node ID: 0 forward at: 12975
Node ID: 0PktID: 15src: 9 -dest: 14 queue backlog: 20 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.2975e+07ns, PktID= 15: src:9 dest:14
Node ID: 6 forward at: 12991.2
Node ID: 7 forward at: 12992.6
Node ID: 2 forward at: 12994.1
Node ID: 1 forward at: 13014.7
Node ID: 8 forward at: 13067.3
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.3101e+07ns, PktID= 16: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.3101e+07ns, PktID= 16: src:9 dest:14
Node ID: 0 forward at: 13101
Node ID: 0PktID: 16src: 9 -dest: 14 queue backlog: 19 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.3101e+07ns, PktID= 16: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/MacTx	+1.3101e+07ns, PktID= 16: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/TxQueue/Enqueue: trace_NetDeviceQueueEnqueue from 9 to 14
Node ID: 6 forward at: 13117.2
Node ID: 7 forward at: 13118.6
Node ID: 2 forward at: 13137.4
Node ID: 1 forward at: 13140.7
Node ID: 8 forward at: 13193.3
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.3227e+07ns, PktID= 17: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.3227e+07ns, PktID= 17: src:9 dest:14
Node ID: 0 forward at: 13227
Node ID: 0PktID: 17src: 9 -dest: 14 queue backlog: 19 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.3227e+07ns, PktID= 17: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/MacTx	+1.3227e+07ns, PktID= 17: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/TxQueue/Enqueue: trace_NetDeviceQueueEnqueue from 9 to 14
Node ID: 6 forward at: 13243.2
Node ID: 7 forward at: 13244.6
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxBegin	+1.32656e+07ns, PktID= 16: src:9 dest:14
Node ID: 1 forward at: 13266.7
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxEnd	+1.3274e+07ns, PktID= 16: src:9 dest:14
Node ID: 2 forward at: 13280.7
Node ID: 8 forward at: 13319.3
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.3353e+07ns, PktID= 18: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.3353e+07ns, PktID= 18: src:9 dest:14
Node ID: 0 forward at: 13353
Node ID: 0PktID: 18src: 9 -dest: 14 queue backlog: 19 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.3353e+07ns, PktID= 18: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/MacTx	+1.3353e+07ns, PktID= 18: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/TxQueue/Enqueue: trace_NetDeviceQueueEnqueue from 9 to 14
Node ID: 6 forward at: 13369.2
Node ID: 7 forward at: 13370.6
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxBegin	+1.33921e+07ns, PktID= 17: src:9 dest:14
Node ID: 1 forward at: 13392.7
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxEnd	+1.34005e+07ns, PktID= 17: src:9 dest:14
Node ID: 2 forward at: 13424.1
Node ID: 8 forward at: 13445.3
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.3479e+07ns, PktID= 19: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.3479e+07ns, PktID= 19: src:9 dest:14
Node ID: 0 forward at: 13479
Node ID: 0PktID: 19src: 9 -dest: 14 queue backlog: 19 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.3479e+07ns, PktID= 19: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/MacTx	+1.3479e+07ns, PktID= 19: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/TxQueue/Enqueue: trace_NetDeviceQueueEnqueue from 9 to 14
Node ID: 6 forward at: 13495.2
Node ID: 7 forward at: 13496.6
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxBegin	+1.35186e+07ns, PktID= 18: src:9 dest:14
Node ID: 1 forward at: 13518.7
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxEnd	+1.3527e+07ns, PktID= 18: src:9 dest:14
Node ID: 2 forward at: 13567.4
Node ID: 8 forward at: 13571.3
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.3605e+07ns, PktID= 20: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.3605e+07ns, PktID= 20: src:9 dest:14
Node ID: 0 forward at: 13605
Node ID: 0PktID: 20src: 9 -dest: 14 queue backlog: 19 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.3605e+07ns, PktID= 20: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/MacTx	+1.3605e+07ns, PktID= 20: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/TxQueue/Enqueue: trace_NetDeviceQueueEnqueue from 9 to 14
Node ID: 6 forward at: 13621.2
Node ID: 7 forward at: 13622.6
Node ID: 1 forward at: 13644.7
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxBegin	+1.36451e+07ns, PktID= 19: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxEnd	+1.36535e+07ns, PktID= 19: src:9 dest:14
Node ID: 8 forward at: 13697.3
Node ID: 2 forward at: 13710.8
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.3731e+07ns, PktID= 21: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.3731e+07ns, PktID= 21: src:9 dest:14
Node ID: 0 forward at: 13731
Node ID: 0PktID: 21src: 9 -dest: 14 queue backlog: 19 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.3731e+07ns, PktID= 21: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/MacTx	+1.3731e+07ns, PktID= 21: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/TxQueue/Enqueue: trace_NetDeviceQueueEnqueue from 9 to 14
Node ID: 6 forward at: 13747.2
Node ID: 7 forward at: 13748.6
Node ID: 1 forward at: 13770.7
